2621    1     40.8    1341.6    
2621    2    163.5    1348.1    
2621    3      6.9    1356.7    
2621    4    123.1    1337.8    
2621    5    -35.7    1366.8    
2621    6    -10.3    1361.1    
5376    7     82.0    1342.9    
2687    8    -94.5    1384.0    
